ID,ID_2,Station,Haul,STN,Date,Time_(WA),UWST_-_Start,USWT-_Finish,Latitude,Longitude,Filter_paper_split_into_two_samples,Tow_time_(min),Tow_velocity_(knots0,Water_Mass,DEPTH_(m),FLUORESCENCE_(Units),OXYGEN_SATURATION_(%),SALINITY_(PSU),SEA_SURFACE_TEMP_(C°),Oxygen_(µM),NOx_(µM),Phosphate_(µM),Silicate_(µM),Ammonia_(uM),Nitrite_(µM),Comments,,*used_2%_bleach_-_0.4l_in_20L_water;_bleach_was_12.5%_which_was_not_diluted_further_2%_-_presumed_citizen_sciences_would_follow_as_per_instructions_and_whaterever_the_concentration_of_bleach_is_ignore_it_and_just_make_sure_the_amount_of_bleach_in_the_bucket_was_2%
1,HSN-57,IN2019_V03_1,2,1,17-May,1618,818,823,39.491,109.989,Yes,5,5,SMW,4575.646188,2.884781944,101.8080556,34.80601389,12.21184722,270.958,7.61,0.64,0.7,0.11,0.269,,,"Water Mass: Indonesian Throughflow Water = black, Mixed Water = purple, Subtropical Surface Water = orange, Subantarctic Mode Water = yellow"
2,HSN-58,IN2019_V03_2,3,2,18-May,1518,718,723,37.99523,109.9903,Yes,5,5,SMW,4501.23628,2.802433333,101.3997222,35.29833333,14.43647222,260.329,3.36,0.36,0.6,0.07,0.143,,,
3,HSN-59,IN2019_V03_3,4,3,19-May,1553,753,758,36.501,109.992,Yes,5,5,SSW,5340.939666,2.384436111,100.5059722,35.52501389,15.26843056,250.593,0.55,0.19,0.5,0.03,0.085,,,
4,HSN-60,IN2019_V03_4,5,4,20-May,1502,702,707,35.004,109.979,Yes,5,5,SSW,5086.827063,1.950994444,101.3188889,35.85361111,17.76265278,237.061,0.07,0.07,1.4,0,0.023,,,
5,HSN-61,IN2019_V03_5,6,5,21-May,1537,737,742,33.501,109.988,Yes,5,5,SSW,2612.638899,1.998180556,101.6755556,35.91140278,18.14290278,237.864,0.03,0.06,1.5,0,0,,,
6,HSN-62,IN2019_V03_6,7,6,22-May,1539,739,744,31.997,110.011,Yes,5,5,SSW,5161.098482,1.905756944,101.8793056,35.99497222,19.48929167,232.728,0.02,0.04,1.7,0,0,Lucifer_plankton,,
7,HSN-63,IN2019_V03_7,8,7,23-May,1520,720,725,30.501,110.008,Yes,5,5,SSW,5390.398433,1.818013889,102.1358333,35.88390278,20.41202778,229.736,0.01,0.04,2,0,0,,,
8,HSN-64,IN2019_V03_8,9,8,24-May,1613,813,818,29.001,110.011,Yes,5,5,SSW,5593.801161,1.791611111,102.4483333,35.83430556,20.80608333,228.084,0.03,0.03,2.1,0,0.002,,,
9,HSN-65,IN2019_V03_9,10,9,25-May,1610,810,815,27.502,110.008,Yes,5,5,MW,5650.376,1.800048611,102.4684722,35.68745833,21.91005556,224.02,0.01,0.04,2.3,0,0,,,
10,HSN-66,IN2019_V03_10,11,10,26-May,1610,810,815,26.007,109.999,Yes,5,5,MW,3972.025651,1.726333333,102.6833333,35.47633333,23.54555556,217.276,0.03,0.04,2.6,0,0,,,
